school,name,position,class,hometown,high_school,hometown_city,hometown_state,hometown_country,hometown_state_first_try,hometown_state_second_try,hometown_state_third_try,hometown_state_clean,hometown_city_clean
Indiana,Christian Turner,RB,R-Sr.+,"Buford, Ga.",Buford,Buford,Ga.,NA,GA,NA,GA,GA,Buford
2023 Football Roster - Michigan State University Athletics,Malik Spencer,DB,So.,"Buford, Ga.",Buford,Buford,Ga.,NA,GA,NA,GA,GA,Buford
2023 Football Roster - Boston College Athletics,CJ Clinkscales,Defensive Back,R-Fr.,"Buford, Ga.",Buford,Buford,Ga.,NA,GA,NA,GA,GA,Buford
Clemson,Jamal Anderson,LB,Fr.,"Buford, Ga.",Mill Creek HS,Buford,Ga.,NA,GA,NA,GA,GA,Buford
2023 Football Roster - Duke University,Dawson Andrew,Safety,So.,"Buford, Ga.",Buford,Buford,Ga.,NA,GA,NA,GA,GA,Buford
2023 Football Roster - Pitt Panthers #H2P,Ryland Gandy,DB,R-Fr.,"Buford, GA",Buford,Buford,GA,NA,GA,NA,GA,GA,Buford
2023 Football Roster - West Virginia University Athletics,Brayden Dudley,BANDIT,R-So.,"Buford, Ga.",Mill Creek,Buford,Ga.,NA,GA,NA,GA,GA,Buford
2023 Football Roster - Stanford University Athletics,Ashton Daniels,Quarterback,So.,"Buford, Ga.",Buford,Buford,Ga.,NA,GA,NA,GA,GA,Buford
2023 Football Roster - University of Alabama Athletics,Isaiah Bond,WR,So.,"Buford, Ga.",Buford,Buford,Ga.,NA,GA,NA,GA,GA,Buford
2023 Football Roster - University of Alabama Athletics,Jake Pope,DB,R-Fr.,"Buford, Ga.",Buford,Buford,Ga.,NA,GA,NA,GA,GA,Buford
2023 Football Roster - University of Alabama Athletics,Justice Haynes,RB,Fr.,"Buford, Ga.",Buford,Buford,Ga.,NA,GA,NA,GA,GA,Buford
2023 Football Roster - University of Alabama Athletics,Seth McLaughlin,OL,Sr.,"Buford, Ga.",Buford,Buford,Ga.,NA,GA,NA,GA,GA,Buford
University of Georgia Athletics,Marek Briley,WR,Fr.,"Buford, Ga.",North Gwinnett,Buford,Ga.,NA,GA,NA,GA,GA,Buford
2023 Football Roster - Ole Miss Athletics,Jack Damron,LB,Fr.,"Buford, Ga.",Buford,Buford,Ga.,NA,GA,NA,GA,GA,Buford
2023 Football Roster - Ole Miss Athletics,Reece McIntyre,OL,Sr.*,"Buford, Ga.",Buford,Buford,Ga.,NA,GA,NA,GA,GA,Buford
Nebraska,Gabe Ervin Jr.,Running Back,Sophomore,"Buford, Ga.","Buford,,",Buford,Ga.,NA,GA,NA,GA,GA,Buford
Nebraska,Anthony Grant,Running Back,Senior,"Buford, Ga.","Buford HS / Florida State / New Mexico Military Institute,,",Buford,Ga.,NA,GA,NA,GA,GA,Buford
Virginia Tech,Dylan Wittke,QB,Fr.,"Buford, Ga.","Buford,,",Buford,Ga.,NA,GA,NA,GA,GA,Buford
University of Central Florida,Matthew Alexander,Defensive Tackle,Redshirt Sophomore,"Buford, Ga.","Buford,,",Buford,Ga.,NA,GA,NA,GA,GA,Buford
LSU,Kobe Roberts,Offensive Line,Redshirt Junior,"Buford, Ga.","Mill Creek HS,,",Buford,Ga.,NA,GA,NA,GA,GA,Buford
LSU,Paul Mubenga,Offensive Line,Freshman,"Buford, Ga.","Buford HS,,",Buford,Ga.,NA,GA,NA,GA,GA,Buford
Colorado,Alejandro Mata,PK,So.,"Buford, Ga.","Buford,,",Buford,Ga.,NA,GA,NA,GA,GA,Buford
Florida,Riley Simonds,OL,R-Jr.,"Buford, Ga.","Buford,,",Buford,Ga.,NA,GA,NA,GA,GA,Buford
