geoid,name,poverty_total_e,poverty_below_e,poverty_rate
28,Mississippi,2858819,548804,19.2
22,Louisiana,4513793,842038,18.7
35,New Mexico,2070966,378651,18.3
54,West Virginia,1736883,291860,16.8
05,Arkansas,2931377,475729,16.2
21,Kentucky,4372749,704758,16.1
01,Alabama,4890427,768897,15.7
40,Oklahoma,3847702,585991,15.2
11,District of Columbia,649184,98039,15.1
45,South Carolina,5002332,717849,14.4
47,Tennessee,6759549,943583,14
48,Texas,28615931,3990326,13.9
36,New York,19516967,2655662,13.6
13,Georgia,10462430,1415573,13.5
37,North Carolina,10186155,1357418,13.3
39,Ohio,11472644,1526507,13.3
04,Arizona,7017776,916876,13.1
26,Michigan,9845242,1293164,13.1
12,Florida,21171700,2725633,12.9
29,Missouri,5979440,766582,12.8
32,Nevada,3063729,389456,12.7
30,Montana,1066145,132329,12.4
18,Indiana,6589135,810702,12.3
46,South Dakota,860878,105542,12.3
06,California,38643585,4685272,12.1
41,Oregon,4149034,494158,11.9
17,Illinois,12478664,1467893,11.8
42,Pennsylvania,12582125,1482439,11.8
20,Kansas,2848334,329870,11.6
44,Rhode Island,1051789,118033,11.2
10,Delaware,969075,107790,11.1
19,Iowa,3088999,343141,11.1
16,Idaho,1805238,198788,11
23,Maine,1329454,145491,10.9
38,North Dakota,750776,80810,10.8
55,Wisconsin,5743164,611661,10.7
56,Wyoming,564105,60134,10.7
02,Alaska,717293,75227,10.5
31,Nebraska,1908613,198466,10.4
50,Vermont,620877,64739,10.4
09,Connecticut,3507563,355692,10.1
51,Virginia,8379773,836686,10
25,Massachusetts,6772292,672361,9.9
53,Washington,7553642,747538,9.9
34,New Jersey,9081112,879179,9.7
08,Colorado,5653289,540105,9.6
15,Hawaii,1414636,135941,9.6
24,Maryland,6034320,558567,9.3
27,Minnesota,5574039,516284,9.3
49,Utah,3231630,275188,8.5
33,New Hampshire,1340074,98162,7.3
